id;start_time;end_time;unpaid_break;billable_rate;appointed_by
439eee20-de3d-4de1-9608-a419987ec25a;2023-01-20T08:30:00Z;2023-01-20T11:45:00Z;0;170;438650bb-adad-4aae-bc41-89ab6ab5a1ea
966782f6-92b3-45ed-8463-e8e1a31d43ca;2023-02-16T10:30:00Z;2023-02-16T17:45:00Z;30;170;6f36b1dc-60c1-4a42-8fdd-aac81504de3f
300c1182-fe38-437b-9bee-760d5e1aa1d9;2023-02-17T08:00:00Z;2023-02-17T09:45:00Z;0;180;d364f2b2-7e36-496f-a8a1-7fe2a0fda867
fe955e3b-4103-4ca5-a5d1-8e1e9914d449;2023-04-10T10:30:00Z;2023-04-10T13:15:00Z;0;185;54971b92-f7d4-4dbc-9194-a6f47dc12d1a
a70b5414-e220-4807-a96f-44ebc5628bb8;2023-02-26T08:00:00Z;2023-02-26T09:45:00Z;0;185;73371ae8-2343-4c34-80a3-061c1682db9f
8046d9ab-d98c-4a99-abf2-65da64542cf7;2023-03-11T08:30:00Z;2023-03-11T12:45:00Z;30;180;c9256de8-f1b2-4fb9-bbbe-88933e63043a
d2e00651-7a54-4510-8911-b95b8611a680;2023-02-14T08:30:00Z;2023-02-14T13:15:00Z;30;185;405e5d1d-35e7-4ffe-9a99-0c7edb0cf71a
6cf0b680-bd47-4285-8491-d30021a05ad1;2023-03-22T09:30:00Z;2023-03-22T14:15:00Z;30;170;c7f2eb15-611b-4e64-a5ec-e0beff923157
06b3c8c2-90b1-42a1-8281-d91e0f8c23b1;2023-02-22T07:00:00Z;2023-02-22T08:00:00Z;0;180;426ff421-d79e-42a6-88b6-19d5cba1380b
d0030122-ab49-4544-bec2-53b60b8b43ef;2023-02-21T10:00:00Z;2023-02-21T19:00:00Z;30;180;362e671c-bfcc-47bb-ae01-405ad1beba91
79336363-d372-4a87-b177-a7c65ee016d5;2023-01-10T10:00:00Z;2023-01-10T17:00:00Z;30;175;
f2d5437b-d835-4cc6-b0d9-e1c210e503af;2023-02-06T07:00:00Z;2023-02-06T14:15:00Z;30;185;32887efc-a67f-4c33-abe1-253cd9d5f8e4
fb66394f-fd17-45bc-a25f-8503c6864664;2023-01-21T10:00:00Z;2023-01-21T15:30:00Z;30;175;bb838596-edcb-4f9a-a8ce-e3d8d5277b22
aba923d9-f4fc-447c-afd4-2a125aab470e;2023-02-22T07:00:00Z;2023-02-22T14:30:00Z;30;185;0f343046-9d4c-4bfe-80de-5f9a9dd9d80d
00b431fb-e336-4a58-bc33-4d5dc5f55fe2;2023-03-02T09:30:00Z;2023-03-02T11:15:00Z;0;180;d240d189-a725-4fe9-b8ec-fe4c8b9862b3
dc7f9f49-a153-4b99-a19f-a466e34503ad;2023-01-30T07:30:00Z;2023-01-30T14:30:00Z;30;175;
bcd54266-8306-45f5-a797-3b6e2cc4de95;2023-01-08T09:00:00Z;2023-01-08T10:30:00Z;0;180;4a780334-1eb8-4653-8120-cdd98ada545c
d436bc9c-955b-47c3-a313-32e5a7921b09;2023-02-14T07:30:00Z;2023-02-14T09:45:00Z;0;170;e18b4229-07d4-40ff-8a82-2a28f84a387d
7f68c527-cbd2-4647-9e91-10e18be56a37;2023-01-30T08:00:00Z;2023-01-30T16:15:00Z;30;185;659649f8-a7e1-4a03-b2fa-7bdc1f905318
92cc1c6c-80d8-4aac-bd63-447c9c2a91d2;2023-01-19T09:00:00Z;2023-01-19T12:00:00Z;0;175;0e2271f9-47ee-4bdf-95c0-3574fd1bf516
ba6ef052-a84f-4423-9e51-290b19a8c5d5;2023-01-03T07:30:00Z;2023-01-03T14:00:00Z;30;185;f758a6bb-e037-467d-b6ac-01954692f74f
f22eecab-5c13-4963-9fcd-6bf21e61bc0e;2023-03-06T10:30:00Z;2023-03-06T18:00:00Z;30;175;0d3f1a0f-4b6b-4e6f-b990-52a8edb3301f
860fda90-afa7-4573-a1d1-2f0c01c7c2b9;2023-02-08T09:00:00Z;2023-02-08T10:15:00Z;0;170;42ef2e6a-3961-4a5f-8387-db555a680ed8
c29f8bf9-f625-434b-9ce4-a67ff7d07d2f;2023-01-07T07:00:00Z;2023-01-07T11:30:00Z;30;185;11c58bdc-663a-4296-9019-bad65d718946
1516ef77-f4de-44f4-a898-e340f22755f5;2023-01-04T07:00:00Z;2023-01-04T16:15:00Z;30;185;35fc9354-cf4e-4620-8054-189bacacc7b2
f7e14460-52b6-437a-a808-2b83e97e2016;2023-01-10T10:30:00Z;2023-01-10T15:45:00Z;30;175;3cc2eedb-309e-4c63-b3b0-e0395e135ef9
73e376be-dcec-4976-9f4f-e86af345b814;2023-02-19T09:00:00Z;2023-02-19T12:15:00Z;0;170;f01928ac-d715-45de-ac1e-3cb2a1a375c5
404ed2cc-afd8-40c5-93da-d1ace1223b46;2023-01-09T09:00:00Z;2023-01-09T10:30:00Z;0;175;86be953a-2f90-4c25-ac8d-8a804649fe64
1c53c708-dbc2-4467-b300-05d9cca59b68;2023-03-27T08:00:00Z;2023-03-27T13:15:00Z;30;180;
42593e16-d867-4f7e-8b93-7f20c30c01c4;2023-02-05T10:00:00Z;2023-02-05T18:45:00Z;30;185;a0912a22-1cf7-44e1-9cde-081e476b4457
e9862e08-0b22-4bbd-a45f-bf1fa5dd083a;2023-01-10T09:30:00Z;2023-01-10T12:45:00Z;0;185;6bfe5009-75ad-44bf-a880-fe5382a627c3
3d54c330-7ee6-4886-9151-10ad5aa8d317;2023-03-01T07:30:00Z;2023-03-01T14:30:00Z;30;180;2408f1ff-e9b2-4f77-ba6b-9acda459c5f7
58fda252-5267-48ef-bba2-05adcab98f93;2023-01-03T09:00:00Z;2023-01-03T14:00:00Z;30;175;11c58bdc-663a-4296-9019-bad65d718946
759a3718-8d24-4e80-9731-992a58201ba6;2023-03-01T07:00:00Z;2023-03-01T15:00:00Z;30;170;3a96ee6d-3cdb-47c0-a1ab-b3f1efe04140
07ed213e-8b8c-40cb-b393-fda4b470ea55;2023-03-31T10:30:00Z;2023-03-31T16:00:00Z;30;180;f500c37d-6483-43ee-80cc-6f73ed62bbae
584610ec-c630-4ede-b08f-ccd1b51110d0;2023-02-10T10:00:00Z;2023-02-10T11:15:00Z;0;185;11c58bdc-663a-4296-9019-bad65d718946
4f8f6949-53ba-4ac4-8901-9ba11518e874;2023-03-21T08:30:00Z;2023-03-21T10:30:00Z;0;175;
85d11b02-1677-4489-a6c6-1c6f4074a261;2023-03-26T09:00:00Z;2023-03-26T17:45:00Z;30;185;dd03c807-5ac5-43ab-9ddd-557b78d85d49
b626f008-1c52-426c-8663-e2b1168c96c8;2023-04-07T09:30:00Z;2023-04-07T10:45:00Z;0;175;196b36ad-086c-4585-824d-ee2ef2c16f0f
e802443e-cd9c-486c-a0ec-5ec9fe8989d8;2023-01-28T08:00:00Z;2023-01-28T10:30:00Z;0;170;669ec941-99da-43bb-99d1-8bf7702443b1
fdc209de-a786-49e5-a07e-d748d558204c;2023-03-28T09:30:00Z;2023-03-28T17:45:00Z;30;170;
a0762a56-fc4d-4b9c-bda0-af0dd1f988e6;2023-03-11T10:30:00Z;2023-03-11T16:15:00Z;30;180;8d4873eb-a6e1-42d3-a1c1-2442b7216ed2
26a4c385-f66b-42ac-8ae4-a66fb4a2c9ee;2023-04-11T07:00:00Z;2023-04-11T14:30:00Z;30;175;88c76173-c08f-409f-8602-777614a3f1e7
b95bd10d-9ab9-4c98-80d8-6a6bbc55edd8;2023-03-15T09:00:00Z;2023-03-15T18:30:00Z;30;185;5ec65d63-2fd8-4b1b-a01b-82a8cab312b7
70e3a711-34fa-4f64-b171-457bf14c93f1;2023-02-10T09:00:00Z;2023-02-10T13:30:00Z;30;185;fc7db512-cb8b-4366-9bb2-0350531b60a4
92d53a48-e9f9-4986-b996-6108df9c5076;2023-03-18T09:00:00Z;2023-03-18T13:15:00Z;30;175;
bf1f6523-be51-4820-a03a-db678e4d8134;2023-01-01T10:00:00Z;2023-01-01T16:30:00Z;30;170;
059ac9f6-9e3d-44a7-89f1-7f957e8c36ed;2023-03-13T09:30:00Z;2023-03-13T13:15:00Z;0;180;eed5c3b7-cbb4-4ad5-8a26-4c6675dc0b99
fc05502f-0e2d-413d-9646-fe4b8463ab86;2023-04-10T07:30:00Z;2023-04-10T13:00:00Z;30;175;450e9cb6-e260-4bed-8ee4-ddeb4bb82725
75e960e9-5265-461d-8e10-a3758cc01e29;2023-03-02T09:30:00Z;2023-03-02T12:00:00Z;0;180;6bd79694-a81d-4ea3-b27c-785c93b09b08
edc7d838-52cd-403a-a837-85db7bd2486d;2023-03-01T09:00:00Z;2023-03-01T16:45:00Z;30;180;74a4f240-2aeb-4898-b2bc-e0b5b33bd0bd
eb701013-beea-41dd-b13b-4137b3789da5;2023-03-11T08:00:00Z;2023-03-11T11:15:00Z;0;185;41f2db19-328a-4077-9386-2d646daf1c1f
